Cell Line Name,Disease Site,Sex,Age,Derived From Site,"European, South",Native American,African,"East Asian, North","European, North","East Asian, South",South Asian
1321N1,Astrocytoma,Male,47Y,Brain,0.81,0.0,1.06,1.62,96.5,0.0,0.0
143B,Osteosarcoma,Female,13Y,"Bone, right femur",58.98,0.0,0.0,0.0,0.0,4.02,37.0
201T,Lung adenocarcinoma,Male,68Y,Lung,5.55,0.0,88.81,2.58,3.06,0.0,0.0
22Rv1,Prostate carcinoma,Male,Adult,Prostate,30.62,0.23,0.89,0.52,67.46,0.0,0.27
23132/87,Gastric adenocarcinoma,Male,72Y,Stomach,39.98,0.35,3.42,1.75,54.5,0.0,0.0
42-MG-BA,Glioblastoma,Male,63Y,"Brain, temporal lobe",31.9,0.0,0.01,4.88,63.22,0.0,0.0
451Lu,Cutaneous melanoma,Male,22Y,"Arm, skin",29.61,1.32,0.0,0.06,67.32,0.98,0.7
5637,Bladder carcinoma,Male,68Y,Urinary bladder,11.89,0.45,30.56,11.48,4.97,40.31,0.35
59M,High grade ovarian serous adenocarcinoma,Female,65Y,Ascites,33.91,0.0,3.2,4.18,58.71,0.0,0.0
639V,Ureter urothelial carcinoma,Male,69Y,Ureter,24.62,0.0,0.0,0.0,74.77,0.6,0.0
647V,Bladder carcinoma,Male,59Y,Urinary bladder,32.52,0.0,1.52,1.95,64.01,0.0,0.0
697,Childhood B acute lymphoblastic leukemia,Male,12Y,Bone marrow,33.02,0.55,0.56,0.0,65.87,0.0,0.0
769-P,Renal cell carcinoma,Female,63Y,Kidney,27.0,0.0,1.32,3.45,68.23,0.0,0.0
786-O,Renal cell carcinoma,Male,58Y,Kidney,29.12,0.0,0.77,4.36,65.75,0.0,0.0
8-MG-BA,Glioblastoma,Female,54Y,"Brain, frontal lobe",33.19,0.1,0.0,2.53,61.9,0.0,2.29
8305C,Thyroid gland anaplastic carcinoma,Female,67Y,Thyroid gland,0.09,1.04,0.0,74.78,0.0,24.09,0.0
8505C,Thyroid gland anaplastic carcinoma,Female,78Y,Thyroid gland,2.8,0.0,0.58,84.79,0.0,11.83,0.0
A-1207,Glioblastoma,Sex unspecified,Age unspecified,Unknown,32.81,0.0,0.38,3.29,63.52,0.0,0.0
A-172,Glioblastoma,Male,53Y,Brain,27.77,0.0,0.0,2.05,68.98,0.0,1.21
A-204,Embryonal rhabdomyosarcoma,Female,1Y,Muscle,27.82,0.2,0.0,0.35,70.8,0.0,0.83
A-253,Submandibular gland squamous cell carcinoma,Male,54Y,"Salivary gland, submandibular gland",35.39,0.0,0.97,1.81,61.82,0.0,0.0
A-375,Amelanotic melanoma,Female,54Y,"Leg, skin",29.75,0.49,0.84,1.69,67.22,0.0,0.0
A-388,Skin squamous cell carcinoma,Male,86Y,Lymph node,41.03,0.32,4.06,3.84,50.76,0.0,0.0
